All device pins and their pinmux options
Pin,Name, Selected Mode, Used By,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15
39,GPIO35/TDI,,,GPIO35,SCIA_RX,SPIA_POCI,I2CA_SDA,GPIO35,MCANB_RX,PMBUSA_SCL,LINA_RX,GPIO35,EQEP1_A,PMBUSA_CTL,EPWM5_B,GPIO35,,,TDI
40,GPIO32,,,GPIO32,I2CA_SDA,EQEP1_INDEX,SPIB_CLK,GPIO32,EPWM8_B,LINA_TX,,GPIO32,FSIRXA_D0,MCANB_TX,PMBUSA_SDA,GPIO32,ADCSOCBO,,
41,GPIO18/ X2,,,GPIO18,SPIA_CLK,SCIB_TX,MCANB_RX,GPIO18,EPWM6_A,I2CA_SCL,,GPIO18,EQEP2_A,PMBUSA_CTL,XCLKOUT,GPIO18,LINA_TX,,EQEP3_INDEX
42,GPIO19/ X1,,,GPIO19,SPIA_PTE,SCIB_RX,MCANB_TX,GPIO19,EPWM6_B,I2CA_SDA,,GPIO19,EQEP2_B,PMBUSA_ALERT,CLB_OUTPUTXBAR1,GPIO19,LINA_RX,,
43,VDDIO,VDDIO,VDDIO
44,VDD,VDD,VDD
45,VSS,VSS,VSS
46,VREGENZ,VREGENZ,VREGENZ
47,GPIO8,,,GPIO8,EPWM5_A,,ADCSOCAO,GPIO8,EQEP1_STROBE,SCIA_TX,SPIA_PICO,GPIO8,I2CA_SCL,FSITXA_D1,CLB_OUTPUTXBAR5,GPIO8,EPWM11_A,,
48,GPIO4,,,GPIO4,EPWM3_A,I2CA_SCL,MCANA_TX,GPIO4,OUTPUTXBAR3,,SPIB_CLK,GPIO4,EQEP2_STROBE,FSIRXA_CLK,CLB_OUTPUTXBAR6,GPIO4,EPWM11_B,SPIA_POCI,EPWM1_A
49,GPIO3,,,GPIO3,EPWM2_B,OUTPUTXBAR2,,GPIO3,OUTPUTXBAR2,PMBUSA_SCL,SPIA_CLK,GPIO3,SCIA_RX,FSIRXA_D0,I2CB_SCL,GPIO3,,MCANB_RX,EPWM4_B
50,GPIO2,,,GPIO2,EPWM2_A,,,GPIO2,OUTPUTXBAR1,PMBUSA_SDA,SPIA_PICO,GPIO2,SCIA_TX,FSIRXA_D1,I2CB_SDA,GPIO2,EPWM10_A,MCANB_TX,EPWM4_A
51,GPIO1,,,GPIO1,EPWM1_B,,,GPIO1,SCIA_TX,I2CA_SCL,SPIA_POCI,GPIO1,EQEP1_STROBE,MCANA_TX,CLB_OUTPUTXBAR7,GPIO1,EPWM10_B,,EPWM3_B
52,GPIO0,,,GPIO0,EPWM1_A,,OUTPUTXBAR7,GPIO0,SCIA_RX,I2CA_SDA,SPIA_PTE,GPIO0,FSIRXA_CLK,MCANA_RX,CLB_OUTPUTXBAR8,GPIO0,EQEP1_INDEX,,EPWM3_A
53,GPIO40,,,GPIO40,SPIB_PICO,,,GPIO40,EPWM2_B,PMBUSA_SDA,FSIRXA_D0,GPIO40,SCIB_TX,EQEP1_A,LINA_TX,GPIO40,,CLB_OUTPUTXBAR4,EQEP3_STROBE
54,GPIO23,,,GPIO23,EQEP1_INDEX,,SCIB_RX,GPIO23,,SPIB_PTE,,GPIO23,LINA_RX,CLB_OUTPUTXBAR3,LINA_RX,GPIO23,EPWM12_A,EPWM4_B,
55,GPIO41,,,GPIO41,EPWM7_A,,,GPIO41,EPWM2_A,PMBUSA_SCL,FSIRXA_D1,GPIO41,SCIB_RX,EQEP1_B,LINA_RX,GPIO41,EPWM12_B,SPIB_POCI,
56,GPIO22,,,GPIO22,EQEP1_STROBE,,SCIB_TX,GPIO22,,SPIB_CLK,,GPIO22,LINA_TX,CLB_OUTPUTXBAR1,LINA_TX,GPIO22,,EPWM4_A,EQEP3_A
57,GPIO7,,,GPIO7,EPWM4_B,EPWM2_A,OUTPUTXBAR5,GPIO7,EQEP1_B,,SPIB_PICO,GPIO7,FSITXA_CLK,CLB_OUTPUTXBAR2,SCIA_TX,GPIO7,,MCANA_TX,EPWM2_B
58,VSS,VSS,VSS
59,VDD,VDD,VDD
60,VDDIO,VDDIO,VDDIO
61,GPIO5,,,GPIO5,EPWM3_B,I2CA_SDA,OUTPUTXBAR3,GPIO5,MCANA_RX,,SPIA_PTE,GPIO5,FSITXA_D1,CLB_OUTPUTXBAR5,SCIA_RX,GPIO5,,,EPWM1_B
62,GPIO9,,,GPIO9,EPWM5_B,SCIB_TX,OUTPUTXBAR6,GPIO9,EQEP1_INDEX,SCIA_RX,SPIA_CLK,GPIO9,I2CA_SCL,FSITXA_D0,LINA_RX,GPIO9,PMBUSA_SCL,I2CB_SCL,EQEP3_B
63,GPIO10,,,GPIO10,EPWM6_A,,ADCSOCBO,GPIO10,EQEP1_A,SCIB_TX,SPIA_POCI,GPIO10,I2CA_SDA,FSITXA_CLK,LINA_TX,GPIO10,EQEP3_STROBE,,CLB_OUTPUTXBAR4
64,GPIO6,,,GPIO6,EPWM4_A,OUTPUTXBAR4,SYNCOUT,GPIO6,EQEP1_A,,SPIB_POCI,GPIO6,FSITXA_D0,,FSITXA_D1,GPIO6,,CLB_OUTPUTXBAR8,EPWM2_A

